17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,421,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,1074,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,1551,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,2045,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,7360,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,8291,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,10128,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,11097,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,12292,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,14785,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,17695,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,18652,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,19468,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,19671,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,21105,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,21767,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,23828,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,24009,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,24019,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,24739,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,24802,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,24954,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,25775,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,26966,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,27502,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,27669,<=50K,
17,Self-emp-not-inc~Private,5~7,Never-married,Adm-clerical~Exec-managerial~Handlers-cleaners,White,Male,27719,<=50K,
